sx,sy,tx,ty,decision
0.8577512928775123,0.2643948745958107,0.5366015660038095,0.09547111349615889,downleft
0.09908769668497408,0.9256851041154266,0.7113037423005241,0.6610934781413351,downleft
0.6152152427937642,0.18309247861730815,0.32469423182050705,0.9902776632569104,downleft
0.09553651729464141,0.10363120919264834,0.9603888450511728,0.021934913651154297,downleft
0.537533535784765,0.5307003336223647,0.8428311490548575,0.9020309924487772,upright
0.512114642502438,0.5537580247782734,0.4609986542568243,0.46608410558017577,downleft
0.07986734341026502,0.353726304975697,0.7889993919128293,0.4741903472827911,upleft
0.8005384230613214,0.028819823785382837,0.6779670766788416,0.344740459197163,upleft
0.732122793065994,0.7738608971250545,0.69346538303935,0.3518523604737698,downleft
0.3433294791589149,0.7075498954742496,0.30942785901483905,0.8599484336642015,upleft
0.7563241283720771,0.6735858663557632,0.3291412030355678,0.07783216214140642,upleft
0.928059484433955,0.30547576240406404,0.999509874959775,0.4155786594382086,upright
0.4332837641432149,0.49427292286416835,0.2293041274060249,0.8068866169149005,upleft
0.5779302023076468,0.4814439249672775,0.016886744983766855,0.9546243348320659,upright
0.5751307659439027,0.278256297239756,0.5204098902332284,0.5334284826396154,upleft
0.8402188395807973,0.9187400868315808,0.10789124640106873,0.9099033805090482,downright
0.2502250832156855,0.35475575389206015,0.14951292524512072,0.5765810049622425,upleft
0.30243555155123225,0.010376342335661093,0.8364161430947887,0.46622299027729064,upleft
0.5516020807005143,0.41626897443814426,0.17737541023822034,0.4372981372095882,upleft
0.3792996636101845,0.18109741050482087,0.9479947420975012,0.5947809801430981,upleft
0.006608382966136639,0.19195022054112754,0.7711904924076358,0.13665717418508794,downleft
0.07037455634667833,0.4191624047893824,0.11838298038576622,0.7533362421566745,upright
0.264840844352462,0.6159585003682837,0.4180721283307759,0.8509921789987396,upright
0.010129890449248058,0.8349247516020069,0.598911040675287,0.9739723351958927,upleft
0.9969810335996723,0.9824016179390009,0.6330521022351284,0.5990992114285553,downleft
0.12786330016712733,0.12355869629674032,0.6468334436639497,0.4725683877695084,upleft
0.5032503723027184,0.8538259479027969,0.286743490890237,0.28840606212591946,upleft
0.10691248718280755,0.6811581391127414,0.03545847723897266,0.08318601108153167,upleft
0.22278958012223737,0.5894010610865781,0.38102575990028265,0.5468371748181384,downright
0.8151080303724794,0.6486572591328275,0.2329334716377578,0.2575269392623959,downright
0.2568820451473973,0.47710182968382,0.9252405391288325,0.30660126765551887,downleft
0.7153523336191596,0.593007593986134,0.8190570833692187,0.937918474096332,upright
0.14324977149308982,0.6354653705824709,0.8834476313225906,0.7359041641872269,upleft
0.5328549324989651,0.8940135124648911,0.19304912482702286,0.025307105808833552,upleft
0.33774153524433304,0.9940298589030783,0.7031400236188412,0.05039339587761982,upright
0.28802271191474826,0.7096728709184181,0.41222551867132884,0.7094748653147731,downright
0.8973523877455866,0.2768982188652169,0.09321542196901811,0.0916780027331422,downright
0.7290743913515282,0.6285576849709459,0.7668794410966022,0.951934792643621,upright
0.9421581833967163,0.37732982275952653,0.09451082088835738,0.4009032862855779,upright
0.44462371985619364,0.6652054720978833,0.05263186800606401,0.12609052312265423,upleft
0.6683559163302664,0.7368707784846775,0.9226470459749748,0.9487345326621074,upright
0.807126018952693,0.9111824317156743,0.7153654654263281,0.7920092820549538,downleft
0.1655402336948706,0.870201716333926,0.3485660403031925,0.07230911236157878,upright
0.7091763475639332,0.7821763229289158,0.7767650009999949,0.9156027855650825,upright
0.12088377092115621,0.6664625335501511,0.6606193147984932,0.4251750572522762,downleft
0.5275872524025009,0.17585569315550353,0.6889363596197026,0.04257185688777343,downright
0.793282919420672,0.6364735751279257,0.40675437694937333,0.9123754799280851,upleft
0.9356104871846352,0.1998484318229493,0.9849334069598724,0.9107786451599224,downright
0.6412808599208578,0.6989043659703236,0.5769591745081829,0.5110479228378159,downleft
0.030329912175124818,0.6731780725004796,0.9872977003767607,0.8657876449790664,upleft
0.16901005609872355,0.1365430069216762,0.9622940705050391,0.4991186494165212,upleft
0.748708503987089,0.3929164729184762,0.7535218585577198,0.34754340707018994,downright
0.19321683531406475,0.07337392628174366,0.7445321886991999,0.23523342777421763,upleft
0.6210847522821471,0.34827004769448056,0.4572277947684328,0.04177074757644905,downleft
0.8315506977028808,0.2764506168984239,0.9051124610404218,0.5444747713468088,upright
0.6158534439522289,0.6944672763971708,0.3411504674095851,0.12649991995500254,upleft
0.6688345175681724,0.714617853176603,0.06090012619770313,0.5546907478731342,downright
0.20453217587422257,0.28076105969333154,0.7127844435936077,0.39244313610996095,upleft
0.6111397225160311,0.7358499597058286,0.6525844382034246,0.4484869983323576,downright
0.6317747423345401,0.7843872647445627,0.8357279382501378,0.026451161711760096,upright
0.7545915563823574,0.46928784500856124,0.41632199074481346,0.37124513183401553,downleft
0.35031188714775197,0.6216828763372683,0.8907289718186532,0.32480353670975626,downleft
0.27538866015150043,0.18789981376396026,0.0358374378002857,0.3060068082900562,upleft
0.8440171508978377,0.8937436985877938,0.7406059629114735,0.4246096720491479,downleft
0.5456722044322031,0.06541122425629431,0.757889575611197,0.19055638062979252,upright
0.3061553913121059,0.22467332865327738,0.5312322355507564,0.3721304032820417,upright
0.11063991420957964,0.9896499669864466,0.24530176364780665,0.8489497322586103,downright
0.8596791720970568,0.8610497645884343,0.619118904277815,0.11503696405663877,upleft
0.36308486290450925,0.41426218120432223,0.28515368806846064,0.5876017307820617,upleft
0.6863520271900666,0.5418102927344463,0.2936803299746833,0.42398972024327375,downleft
0.5976046155739868,0.23073075059833625,0.0595755737417244,0.7405898597054414,downright
0.14404971267085487,0.5109756080090954,0.9468159017797007,0.3268857548632782,downleft
0.8552372487592581,0.23394003941787078,0.31574935780051794,0.6274552081240329,upright
0.226126308885657,0.7573058734704872,0.007786145812580414,0.10069191372391562,upleft
0.4333935466627198,0.11752712290005074,0.6317678463763995,0.03347701033220363,downright
0.8033222754495857,0.7523349217995658,0.0558699887117331,0.7511240210868244,downright
0.634743148735583,0.8984927996419142,0.39816162405050404,0.6578718493410574,downleft
0.8477099146562852,0.6312473757078619,0.020845459654914467,0.4358837591740047,downright
