spx,spy,sppx,sppy,sox,soy,spox,spoy,tpx,tpy,tppx,tppy,decision
0.7460419974444952,0.731697395261419,0.746033023903835,0.731733188946061,0.748407842089113,0.50469141423443,0.7484078481989176,0.5046913974478541,0.785615799290148,0.7281731044459164,0.7856489733659622,0.7281649704905492,nothing
0.37785493207700194,0.7217708068035875,0.377870560150007,0.7217962735288739,0.23966226992215278,0.6469143737911338,0.23966229426366017,0.6469143922236382,0.6856538016989224,0.09821107425738995,0.6856776246049938,0.09821616801618771,turnright
0.11669630928070984,0.17094726084436895,0.1167199582832959,0.17091316725376207,0.6572517493946067,0.3402733984723251,0.6572517626217484,0.34027338535602253,0.34176053523101835,0.314553027176836,0.3417955126767915,0.3145651325922264,turnright
0.0973435462490555,0.8760799669786947,0.09739280176498105,0.8760909058461237,0.8293372023265301,0.6441169873773248,0.8293372154420172,0.6441169990966601,0.5451143710679063,0.14159730847958185,0.5451472290672467,0.14162399982923754,turnright
0.6857717958437023,0.5933706129946218,0.6858098921152267,0.5933408928889705,0.2557226399443584,0.5384598548560093,0.25572264725727156,0.5384598641275234,0.9418978926371313,0.6821084412180867,0.9419052764188138,0.6820967214877863,turnright
0.951121511716944,0.5892808347734336,0.9511091551363177,0.589244886378776,0.08172295741852342,0.23462530462192555,0.08172293942932009,0.2346253140607867,0.4653997100888255,0.6648738058241852,0.46537610643558625,0.6648550739254842,nothing
0.4554952789873886,0.6897061254790298,0.4554671532717501,0.6896973107297634,0.6096074527708405,0.9582434411043513,0.6096074570246586,0.9582434454546171,0.8284699164724176,0.854758481073751,0.828423599665673,0.8547639611466678,turnleft
0.12938062134550787,0.3506946897311394,0.12933534268668137,0.35070012888583374,0.8493235367431469,0.885804978553759,0.8493235240204245,0.8858049945834067,0.38002828330256877,0.43982714812329904,0.3800740177927154,0.4397797786570182,turnleft
0.4446087165387477,0.980337929088404,0.44459559265158705,0.9803402812226709,0.22180574363106753,0.3721283306573494,0.22180576359233664,0.37212833753073415,0.791497620098864,0.3791929262133611,0.7915306227728689,0.37922536807647195,turnright
0.5084065069680976,0.17282960010945325,0.5083735511474256,0.17284829848596167,0.9553320964695772,0.5718699569203318,0.9553320820900078,0.5718699634767105,0.9252595536975105,0.8711263365267838,0.9252415810794433,0.8711299475047857,turnleft
0.596780173924738,0.18736699672946588,0.5967969440188403,0.18734643169196316,0.83948377814049,0.27038918675549106,0.83948375919138,0.27038919510521986,0.8353813222417854,0.0933485885522537,0.8353809525768442,0.0933377164685074,nothing
